name,launchDate,origin,duration,type,description,employmentRequirements,age,minimumYearsOfExperience,qualification,occupations,languageRequired,cargoFor,cargoRequired,quantityRequired,countriesAllowed
Analog Missions,12/11/2022,New Zealand,52,agriculture,est. Nunc laoreet lectus quis massa. Mauris vestibulum| neque sed dictum eleifend| nunc,Feedlot Supervisor | Farm Manager,18-50,8yr,BE,civil engineer,english|,For the mission,noodles| desserts,154,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
​Commercial Resupply Services,7/07/2025,India,94,infrastructure,varius et| euismod et| commodo at| libero. Morbi accumsan laoreet,Builder | Conractor| Supervisor,18-32,4yr,MBBS|BDS,electrician,english|javanese| arabic| telugu,For other mission,soups| seafood| chicken| water,332,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
WIND,3/10/2025,Canada,88,agriculture,a neque. Nullam ut nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis,Feedlot Supervisor | Farm Manager,18-50,3yr,BE|MIT,designer,english|mandarin,For Journey,sandwiches,239,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Fire and Smoke,7/04/2025,Canada,73,infrastructure,porttitor eros nec tellus. Nunc lectus pede| ultrices a| auctor non| feugiat nec| diam. Duis mi enim| condimentum,Builder | Conractor| Supervisor,18-32,4yr,ME|MS,manufacturer,english|french,For the mission,wood| surgical,356,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Dawn,2/12/2025,Australia,97,agriculture,cursus vestibulum. Mauris magna. Duis dignissim tempor arcu. Vestibulum ut eros non enim commodo hendrerit. Donec porttitor tellus non magna. Nam ligula elit|,Feedlot Supervisor | Farm Manager,24-50,5yr,MDS|BE,electrician,english|,For other mission,soups| seafood| seeds,333,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
SOHO,14/04/2025,United Kingdom,95,infrastructure,sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo tincidunt nibh. Phasellus nulla. Integer vulputate| risus a ultricies adipiscing| enim mi tempor lorem| eget mollis,Builder | Conractor| Supervisor,18-32,8yr,BDS|MBBS,,english|hausa| hindi,For Journey,,239,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
CHAMP,3/05/2024,New Zealand,54,agriculture,et pede. Nunc sed orci lobortis augue scelerisque mollis. Phasellus libero mauris| aliquam eu| accumsan sed| facilisis vitae| orci. Phasellus dapibus quam,Feedlot Supervisor | Farm Manager,24-50,4yr,MS|BE,designer,english|punjabi| bengali,For the mission,pork,83,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
POES,23/02/2023,United States,60,infrastructure,In mi pede| nonummy ut| molestie in| tempus eu| ligula. Aenean euismod mauris eu,Builder | Conractor| Supervisor,24-50,4yr,MBA,,english|,For other mission,desserts| pies| sandwiches| seeds,128,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
New Horizons,2/08/2025,United States,51,agriculture,elit| pellentesque a| facilisis non| bibendum sed| est. Nunc laoreet lectus quis massa. Mauris vestibulum| neque sed dictum eleifend| nunc risus varius orci| in consequat enim diam vel,Feedlot Supervisor | Farm Manager,18-32,3yr,BDS,general practitioner,english|mandarin,For Journey,noodles| wood,297,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Cluster ESA/NASA Mission,4/09/2023,United Kingdom,60,infrastructure,ornare placerat| orci lacus vestibulum lorem| sit amet ultricies sem magna nec quam. Curabitur vel lectus.,Builder | Conractor| Supervisor,18-50,4yr,MIT,,english|javanese| mandarin,For the mission,concrete| seafood,127,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Hubble,1/11/2023,Austria,91,agriculture,aliquet nec| imperdiet nec| leo. Morbi neque tellus| imperdiet non| vestibulum nec| euismod in| dolor. Fusce,Feedlot Supervisor | Farm Manager,18-32,4yr,MS,,english|,For other mission,pies| water| pasta| seeds,176,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Cosmic Background Explorer (COBE),29/08/2023,Russian Federation,85,infrastructure,nibh dolor| nonummy ac| feugiat non| lobortis quis| pede. Suspendisse dui. Fusce diam nunc| ullamcorper eu| euismod ac| fermentum vel| mauris. Integer sem elit| pharetra ut| pharetra sed| hendrerit a|,Builder | Conractor| Supervisor,24-50,1yr,BE,,english|persian| mandarin,For Journey,sandwiches| stews| concrete| seafood,489,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Parker Solar Probe,2/06/2021,United States,63,agriculture,sed sem egestas blandit. Nam nulla magna| malesuada vel| convallis in| cursus et| eros. Proin ultrices. Duis volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla facilisis. Suspendisse commodo,Builder | Conractor| Supervisor,24-45,9yr,MBBS,,english|arabic,For the mission,chicken| cereals| noodles,154,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
GRAIL,26/05/2025,United Kingdom,95,infrastructure,velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac risus. Morbi metus.,Builder | Conractor| Supervisor,24-45,2yr,BE,carpenter,english|hindi,For other mission,seeds| salads,487,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Deep Impact,6/12/2020,Australia,31,agriculture,vitae| aliquet nec| imperdiet nec| leo. Morbi neque tellus| imperdiet non| vestibulum nec| euismod in| dolor. Fusce feugiat. Lorem ipsum dolor sit amet| consectetuer adipiscing elit. Aliquam auctor| velit eget,Feedlot Supervisor | Farm Manager,24-45,2yr,ME,civil engineer,english|hausa| mandarin,For Journey,stews| surgical| cereals,59,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Ulysses,30/12/2020,Australia,69,infrastructure,Donec felis orci| adipiscing non| luctus sit amet| faucibus ut| nulla. Cras eu tellus eu augue,Builder | Conractor| Supervisor,24-45,4yr,MDS,manufacturer,english|french| arabic| bengali,For the mission,beef| noodles| chicken| desserts,433,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Mini-RF,27/08/2023,Russian Federation,65,agriculture,odio. Etiam ligula tortor| dictum eu| placerat eget| venenatis a| magna.,Builder | Conractor| Supervisor,24-50,10yr,BDS,manufacturer,english|,For other mission,noodles| sandwiches| chicken,165,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Magnetospheric Multiscale (MMS),21/05/2023,United Kingdom,89,infrastructure,molestie tellus. Aenean egestas hendrerit neque. In ornare sagittis felis. Donec tempor| est ac mattis semper| dui lectus,Feedlot Supervisor | Farm Manager,24-50,3yr,MS,nurse,english|russian| punjabi,For Journey,,322,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Upper Atmosphere Radiation Satellite (UARS),8/12/2025,Russian Federation,89,agriculture,tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus.,Builder | Conractor| Supervisor,24-45,3yr,MBA,nurse,english|javanese| bengali| french,For the mission,surgical| seeds| pork,499,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Space Shuttle,16/11/2025,Germany,59,infrastructure,vitae sodales nisi magna sed dui. Fusce aliquam| enim nec tempus scelerisque| lorem ipsum sodales purus| in,Feedlot Supervisor | Farm Manager,18-32,3yr,BDS,nurse,english|,For other mission,wood,174,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
JUICE (JUpiter ICy Moons Explorer),23/02/2024,United States,97,agriculture,Proin ultrices. Duis volutpat nunc sit amet metus. Aliquam erat volutpat. Nulla,Builder | Conractor| Supervisor,24-50,3yr,MIT,builder,english|,For Journey,seafood| water,220,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Exploration Mission-1 (EM-1) (SLS/Orion),28/05/2021,United Kingdom,99,infrastructure,malesuada ut| sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris,Feedlot Supervisor | Farm Manager,18-32,7yr,MS,civil engineer,english|persian| telugu| greek,For the mission,seeds| salads| cereals,338,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Mars Perseverance Rover,17/05/2025,Germany,62,agriculture,eu| eleifend nec| malesuada ut| sem. Nulla interdum. Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae,Builder | Conractor| Supervisor,24-50,5yr,BE,general practitioner,english|arabic| italian,For other mission,sandwiches| wood,298,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Mariner,14/01/2021,Australia,95,infrastructure,id nunc interdum feugiat. Sed nec metus facilisis lorem tristique aliquet. Phasellus fermentum convallis ligula. Donec luctus aliquet odio. Etiam ligula tortor| dictum eu| placerat eget|,Builder | Conractor| Supervisor,24-50,7yr,MBBS,surgeon,english|arabic| bengali| french,For Journey,beef| pork| wood| noodles,226,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Explorer,15/11/2021,Germany,61,agriculture,eleifend| nunc risus varius orci| in consequat enim diam vel arcu. Curabitur ut odio vel est tempor bibendum.,Feedlot Supervisor | Farm Manager,18-50,5yr,BE,builder,english|greek,For the mission,pork| wood,230,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
TIMED,28/01/2021,Austria,50,infrastructure,Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla ante| iaculis nec| eleifend non| dapibus rutrum| justo. Praesent,Builder | Conractor| Supervisor,18-50,10yr,ME,manufacturer,english|,For other mission,,36,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Mars Express,5/11/2020,Germany,63,agriculture,enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris sagittis placerat. Cras dictum ultricies ligula. Nullam enim. Sed nulla,Feedlot Supervisor | Farm Manager,24-50,3yr,MDS,nurse,english|arabic,For Journey,,204,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
IMAGE,7/03/2025,New Zealand,31,infrastructure,sociis natoque penatibus et magnis dis parturient montes| nascetur ridiculus mus. Donec dignissim magna a tortor. Nunc commodo auctor velit. Aliquam nisl. Nulla eu neque pellentesque massa lobortis ultrices.,Builder | Conractor| Supervisor,18-32,3yr,BDS,manufacturer,english|italian,For the mission,desserts,46,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Planck,27/12/2020,Russian Federation,86,agriculture,dolor. Quisque tincidunt pede ac urna. Ut tincidunt vehicula risus.,Feedlot Supervisor | Farm Manager,18-50,3yr,MS,,english|greek,For other mission,desserts| wood,484,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
ARCTAS,27/10/2021,Australia,32,infrastructure,taciti sociosqu ad litora torquent per conubia nostra| per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec egestas. Duis ac,Builder | Conractor| Supervisor,18-32,2yr,MBA,painter,english|telugu| arabic,For Journey,pasta| sandwiches| desserts| water,154,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Moon Mineralogy Mapper,7/06/2025,Austria,98,agriculture,fermentum fermentum arcu. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis. Duis sit amet diam,Feedlot Supervisor | Farm Manager,24-50,6yr,BDS,electrician,english|persian,For the mission,pies| sandwiches| pasta,362,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Ranger,4/03/2021,Germany,82,infrastructure,odio sagittis semper. Nam tempor diam dictum sapien. Aenean massa. Integer vitae nibh. Donec est mauris| rhoncus id| mollis nec| cursus a| enim.,Builder | Conractor| Supervisor,24-50,3yr,MIT,painter,english|french| greek| mandarin,For other mission,cereals| desserts| salads| seafood,322,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Lunar Outpost,30/01/2024,India,65,agriculture,nisi a odio semper cursus. Integer mollis. Integer tincidunt aliquam arcu. Aliquam ultrices iaculis odio. Nam interdum enim non nisi. Aenean eget metus. In nec orci. Donec nibh.,Feedlot Supervisor | Farm Manager,24-45,6yr,MS,builder,english|persian,For Journey,soups| pies| water| wood,46,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
MESSENGER: Mercury| Surface| Space Environment| Geochemistry and Ranging,14/07/2021,India,57,infrastructure,eros nec tellus. Nunc lectus pede| ultrices a| auctor non| feugiat nec| diam. Duis mi enim| condimentum eget| volutpat ornare| facilisis eget| ipsum. Donec sollicitudin adipiscing ligula. Aenean gravida,Builder | Conractor| Supervisor,24-50,3yr,BE,electrician,english|bengali| russian,For the mission,cereals| seeds| noodles,234,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Curiosity,29/07/2024,Australia,25,agriculture,senectus et netus et malesuada fames ac turpis egestas. Fusce aliquet magna a neque. Nullam ut nisi a odio semper cursus.,Feedlot Supervisor | Farm Manager,18-32,4yr,MBBS,,english|portugese| greek| persian,For other mission,soups,244,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Apollo,26/10/2021,Germany,88,infrastructure,urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien| gravida non| sollicitudin a|,Builder | Conractor| Supervisor,18-32,3yr,BE,builder,english|,For Journey,stews| seeds| wood| sandwiches,233,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Earth Observing-1,30/08/2021,Australia,46,agriculture,tellus eu augue porttitor interdum. Sed auctor odio a purus.,Feedlot Supervisor | Farm Manager,24-45,2yr,ME|MS,carpenter,english|french,For the mission,,56,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Landsat Data Continuity Mission,10/04/2023,United Kingdom,63,infrastructure,vulputate| nisi sem semper erat| in consectetuer ipsum nunc id enim. Curabitur massa.,Builder | Conractor| Supervisor,18-50,7yr,MDS|MBA,surgeon,english|hindi| greek| arabic,For other mission,cereals,202,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Mars Exploration Rovers (Spirit and Opportunity),22/08/2020,New Zealand,58,agriculture,vel| venenatis vel| faucibus id| libero. Donec consectetuer mauris id sapien. Cras dolor dolor| tempus non| lacinia at|,Builder | Conractor| Supervisor,24-45,2yr,BDS|MS,manufacturer,english|greek| hausa,For Journey,noodles,168,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Aqua,3/08/2021,Canada,65,infrastructure,taciti sociosqu ad litora torquent per conubia nostra| per inceptos hymenaeos. Mauris ut quam vel sapien imperdiet ornare. In faucibus. Morbi vehicula. Pellentesque tincidunt tempus risus. Donec,Builder | Conractor| Supervisor,18-32,4yr,MS|BE,nurse,english|french| javanese| punjabi,For the mission,salads| seafood| stews,450,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
IMAP (Interstellar Mapping and Acceleration Probe),22/02/2022,Austria,71,agriculture,faucibus leo| in lobortis tellus justo sit amet nulla. Donec non justo. Proin non massa non ante bibendum ullamcorper. Duis,Feedlot Supervisor | Farm Manager,24-45,7yr,MBA,nurse,english|greek| arabic,For other mission,soups| stews| seeds,261,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Earth Radiation Budget Satellite,20/09/2021,Canada,76,infrastructure,Nullam nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada augue ut lacus. Nulla,Builder | Conractor| Supervisor,24-50,2yr,BDS,surgeon,english|hausa| persian,For Journey,pork| beef,499,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
ACE,13/08/2025,Canada,67,agriculture,lacinia at| iaculis quis| pede. Praesent eu dui. Cum sociis natoque penatibus et magnis dis parturient montes| nascetur ridiculus mus. Aenean eget,Feedlot Supervisor | Farm Manager,24-50,6yr,MIT,nurse,english|,For the mission,stews| salads| concrete| chicken,306,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
NEOWISE,17/06/2021,United States,72,infrastructure,auctor ullamcorper| nisl arcu iaculis enim| sit amet ornare lectus,Builder | Conractor| Supervisor,18-50,4yr,MS,builder,english|russian| punjabi| persian,For other mission,,169,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Small Satellites,31/12/2020,Russian Federation,40,agriculture,diam nunc| ullamcorper eu| euismod ac| fermentum vel| mauris. Integer sem elit| pharetra ut| pharetra sed| hendrerit a| arcu. Sed et libero. Proin mi. Aliquam,Feedlot Supervisor | Farm Manager,24-50,4yr,BE,general practitioner,english|hausa,For Journey,chicken| salads,134,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Mars Science Laboratory (Curiosity),6/02/2023,Russian Federation,46,infrastructure,nisi. Cum sociis natoque penatibus et magnis dis parturient montes| nascetur ridiculus mus. Proin vel nisl. Quisque fringilla euismod enim. Etiam,Builder | Conractor| Supervisor,18-32,2yr,MBBS,builder,english|,For the mission,beef| seafood| noodles,163,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Glory,1/08/2024,Russian Federation,95,agriculture,semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus. In mi pede| nonummy ut| molestie in| tempus,Feedlot Supervisor | Farm Manager,18-50,5yr,BE,nurse,english|,For other mission,pasta| concrete,119,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
NEEMO (NASA Extreme Environment Mission Operations),24/03/2024,Australia,63,infrastructure,in consequat enim diam vel arcu. Curabitur ut odio vel est tempor bibendum. Donec felis orci| adipiscing non|,Builder | Conractor| Supervisor,18-50,10yr,ME,nurse,english|javanese| hausa| greek,For Journey,surgical| seafood,304,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Genesis,1/04/2023,New Zealand,88,agriculture,sem ut dolor dapibus gravida. Aliquam tincidunt| nunc ac mattis ornare| lectus ante dictum mi| ac mattis velit justo nec ante. Maecenas mi felis| adipiscing,Feedlot Supervisor | Farm Manager,18-32,2yr,MDS,manufacturer,english|,For the mission,,370,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
NOAA-N Prime,14/07/2024,Canada,54,infrastructure,tellus non magna. Nam ligula elit| pretium et| rutrum non| hendrerit,Builder | Conractor| Supervisor,24-50,8yr,BDS,electrician,english|,For other mission,soups,177,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
Gravity Probe-B,24/05/2021,United States,25,agriculture,Proin mi. Aliquam gravida mauris ut mi. Duis risus odio| auctor vitae| aliquet nec| imperdiet nec| leo. Morbi neque,Feedlot Supervisor | Farm Manager,18-50,10yr,MS,civil engineer,english|,For Journey,pork| sandwiches| surgical,412,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
DART (Double Asteroid Redirection Test),8/02/2023,Canada,63,infrastructure,lacinia orci| consectetuer euismod est arcu ac orci. Ut semper pretium,Builder | Conractor| Supervisor,18-50,9yr,MBA,general practitioner,english|greek| portugese,For the mission,wood| beef| seafood| concrete,242,Austria|United Kingdom|United States|India|Canada|Russian Federation|Australia|New Zealand|Germany
